date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:34	37035/37035	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:32:33%20GMT	http://onyxdestinations.com/destinations	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/destinations.html	(from http://onyxdestinations.com/)
00:02:34	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-17b8b%22	http://code.jquery.com/jquery-1.12.4.min.js	C:/Users/EDITHAK/Downloads/hotel/code.jquery.com/jquery-1.12.4.min.js	(from http://onyxdestinations.com/)
00:02:40	58588/58588	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Aug%202025%2003:49:34%20GMT	https://myhotel.heyaskme.in/templates/default/images/logo.png	C:/Users/EDITHAK/Downloads/hotel/myhotel.heyaskme.in/templates/default/images/logo.png	(from http://onyxdestinations.com/)
00:02:43	58588/58588	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Aug%202025%2003:49:34%20GMT	http://onyxdestinations.com/templates/default/images/logo.png	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/templates/default/images/logo.png	(from http://onyxdestinations.com/)
00:03:02	116454/116454	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Oct%202025%2011:46:30%20GMT	http://onyxdestinations.com/medias/slide/big/21/4afc1a7c48650a4277a495bca020fd8f.jpg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/slide/big/21/4afc1a7c48650a4277a495bca020fd8f.jpg	(from http://onyxdestinations.com/)
00:03:08	211143/211143	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Oct%202025%2011:30:16%20GMT	http://onyxdestinations.com/medias/slide/big/11/whatsapp-image-2025-10-30-at-07-20-35.jpeg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/slide/big/11/whatsapp-image-2025-10-30-at-07-20-35.jpg	(from http://onyxdestinations.com/)
00:03:11	187964/187964	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Oct%202025%2011:45:03%20GMT	http://onyxdestinations.com/medias/slide/big/20/dc16973b239491427f1e89a98ed1f1fa.jpg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/slide/big/20/dc16973b239491427f1e89a98ed1f1fa.jpg	(from http://onyxdestinations.com/)
00:03:11	15902/15902	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Oct%202025%2008:39:55%20GMT	http://onyxdestinations.com/medias/hotel/small/385/whatsapp-image-2025-10-28-at-00-56-23-6.jpeg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/hotel/small/385/whatsapp-image-2025-10-28-at-00-56-23-6.jpg	(from http://onyxdestinations.com/)
00:03:12	55872/55872	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Oct%202025%2011:58:09%20GMT	http://onyxdestinations.com/medias/slide/big/23/e52480609b3a8031c11197290042c9b3.jpg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/slide/big/23/e52480609b3a8031c11197290042c9b3.jpg	(from http://onyxdestinations.com/)
00:03:12	78404/78404	---MCZ	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:12%20GMT	http://onyxdestinations.com/hotels/hoteldkox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/hoteldkox.html	(from http://onyxdestinations.com/)
00:03:13	12736/12736	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Nov%202025%2007:52:02%20GMT	http://onyxdestinations.com/medias/hotel/small/552/whatsapp-image-2025-11-03-at-02-49-19.jpeg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/hotel/small/552/whatsapp-image-2025-11-03-at-02-49-19.jpg	(from http://onyxdestinations.com/)
00:03:14	65624/65624	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:14%20GMT	http://onyxdestinations.com/hotels/binaykpalacepremiumox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/binaykpalacepremiumox.html	(from http://onyxdestinations.com/)
00:03:14	66011/66011	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:15%20GMT	http://onyxdestinations.com/hotels/hotelsenoritainnox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/hotelsenoritainnox.html	(from http://onyxdestinations.com/)
00:03:15	70367/70367	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:15%20GMT	http://onyxdestinations.com/hotels/suryabeachinnox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/suryabeachinnox.html	(from http://onyxdestinations.com/)
00:03:17	19559/19559	---M--	200	added ('OK')	image/jpeg	date:Thu,%2030%20Oct%202025%2010:51:03%20GMT	http://onyxdestinations.com/medias/hotel/small/534/whatsapp-image-2025-10-30-at-06-48-06.jpeg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/hotel/small/534/whatsapp-image-2025-10-30-at-06-48-06.jpg	(from http://onyxdestinations.com/)
00:03:18	17172/17172	---M--	200	added ('OK')	image/jpeg	date:Mon,%2022%20Sep%202025%2005:09:14%20GMT	http://onyxdestinations.com/medias/hotel/small/163/whatsapp-image-2025-09-22-at-10-36-36-434c734d.jpg	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/medias/hotel/small/163/whatsapp-image-2025-09-22-at-10-36-36-434c734d.jpg	(from http://onyxdestinations.com/)
00:03:18	63977/63977	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:18%20GMT	http://onyxdestinations.com/hotels/hotelswagatinnox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/hotelswagatinnox.html	(from http://onyxdestinations.com/)
00:03:18	48971/48971	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Jan%202026%2018:33:19%20GMT	http://onyxdestinations.com/hotels/lucky-guest-house-ox	C:/Users/EDITHAK/Downloads/hotel/onyxdestinations.com/hotels/lucky-guest-house-ox.html	(from http://onyxdestinations.com/)
